id,system_name,primary_attribute,attack_type,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_mr,base_attack_min,base_attack_max,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,attack_range,projectile_speed,attack_rate,base_attack_time,attack_point,move_speed,turn_rate,legs,day_vision,night_vision,name,1_pick,1_win,2_pick,2_win,3_pick,3_win,4_pick,4_win,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,turbo_picks,turbo_wins,pro_pick,pro_win,pro_ban,pub_pick,pub_win,x,y
30,witch_doctor,int,Ranged,120,0.25,75,0.0,0,25,26,36,20,13,22,2.1,1.4,3.1,550,1200,1.7000000000000002,100,0.4,300,,2,1800,800,Witch Doctor,56254,29899,108193,57800,114627,60485,99314,51758,69670,35952,40934,20804,33235,16775,0,0,247103,130809,23,9,24,566421,295976,11.137184,8.152816
31,lich,int,Ranged,120,0.5,75,0.75,-1,25,24,33,20,17,28,2.1,2.0,3.8,550,900,1.7000000000000002,100,0.46,290,0.7000000000000001,2,1800,800,Lich,33946,18242,62762,33701,72295,38346,68903,36462,53606,28249,35965,18811,34044,17434,0,0,137277,74264,56,31,7,394044,207722,8.012298,6.657115
32,riki,agi,Melee,120,2.5,75,0.0,0,25,22,26,18,30,14,2.0,2.4,1.3,150,900,1.7000000000000002,90,0.30000000000000004,315,,2,1800,800,Riki,22547,11600,33021,17089,30370,15801,24514,12676,16225,8390,9890,5130,8624,4472,0,0,103193,52907,9,6,10,172695,89352,-0.54024994,-3.0700257
33,enigma,all,Ranged,120,0.25,75,0.5,1,25,19,25,21,14,19,2.5,1.0,3.6,500,900,1.7000000000000002,100,0.4,280,,0,1800,800,Enigma,11277,5557,19827,9881,19995,10148,16245,8310,11149,5809,6848,3595,7295,3990,0,0,81179,40845,5,2,42,108816,55055,-6.854465,-7.493441
34,tinker,int,Ranged,120,0.25,75,0.5,2,25,22,28,19,17,30,2.3,1.4,3.3,500,900,1.7000000000000002,100,0.35000000000000003,310,,2,1800,800,Tinker,19768,9305,35644,17062,38484,18667,35148,17189,26598,13009,18505,8998,21282,10499,0,0,99417,45032,29,13,101,220320,106238,1.7964283,0.48294005
35,sniper,agi,Ranged,120,0.25,75,0.0,0,25,13,19,19,27,15,2.0,3.2,2.6,550,3000,1.7000000000000002,100,0.17,285,0.7000000000000001,2,1800,1400,Sniper,71163,33965,119109,57238,124490,59381,104987,49856,70876,33525,40001,18663,31500,14440,0,0,419976,204630,51,28,30,635154,302306,12.372884,7.94957
36,necrolyte,int,Ranged,120,0.25,75,0.0,2,25,26,30,18,12,23,2.3,1.3,2.7,500,1200,1.7000000000000002,100,0.30000000000000004,280,,2,1800,800,Necrophos,41750,22318,76004,39625,80468,41766,70477,36008,50471,25309,30637,15415,27694,13645,0,0,164173,84645,20,12,13,417312,215606,8.827778,6.6224084
37,warlock,int,Ranged,120,0.25,75,0.0,1,25,27,37,22,10,25,2.4,1.0,3.1,600,1200,1.7000000000000002,90,0.30000000000000004,300,,2,1800,800,Warlock,25076,13055,48821,25223,53367,27044,48191,23970,36872,18234,24440,11788,28219,13594,0,0,99051,51594,115,55,97,289125,144667,4.930881,3.2372487
38,beastmaster,all,Melee,120,0.25,75,0.0,-1,25,23,27,25,19,16,2.9,1.9,1.9,150,0,1.7000000000000002,100,0.30000000000000004,305,,2,1800,800,Beastmaster,15772,7430,33069,15262,36261,16878,32485,14982,25718,11758,18155,8404,23207,10795,0,0,52506,22993,100,54,167,210071,97062,-1.1858451,0.6175675
39,queenofpain,int,Ranged,120,0.25,75,0.0,0,25,26,32,20,22,25,2.4,2.5,3.4,550,1500,1.5,100,0.56,290,,2,1800,800,Queen of Pain,29451,14067,62522,30084,78555,37908,78902,38589,62976,31091,42265,20716,44186,21595,0,0,156809,73935,64,33,93,429844,209250,8.599509,7.100337
40,venomancer,all,Ranged,120,0.25,75,0.0,0,25,18,21,19,25,19,2.1,2.8,1.8,450,900,1.7000000000000002,115,0.30000000000000004,280,,0,1800,800,Venomancer,34853,17682,62532,31740,67975,34784,59514,30588,42659,21907,26083,13221,23508,12161,0,0,184431,91769,14,8,107,351373,179298,7.678469,5.3912883
41,faceless_void,agi,Melee,120,1.0,75,0.0,0,25,37,43,20,21,15,2.6,3.3,1.5,150,900,1.7000000000000002,100,0.5,300,0.9,2,1800,800,Faceless Void,29495,14486,54847,26876,59059,29105,53650,26765,40292,20502,25948,13296,25525,13118,0,0,161954,85494,25,13,35,326480,163172,7.0117126,4.8214865
42,skeleton_king,str,Melee,120,0.5,75,0.0,1,25,38,40,22,16,16,2.8,1.7000000000000002,1.6,150,0,1.7000000000000002,100,0.56,310,,2,1800,800,Wraith King,34740,19131,64500,35113,65329,34923,53089,28164,35298,18412,18960,9821,12980,6523,0,0,134589,74592,12,8,14,320919,171206,6.5423794,4.677887
43,death_prophet,all,Ranged,120,0.25,75,0.5,0,25,22,32,21,17,24,2.9,2.0,3.0,600,1000,1.7000000000000002,100,0.5,290,0.8,2,1800,800,Death Prophet,15730,7621,21457,10511,20860,10262,17575,8464,13421,6543,8191,4067,9034,4418,0,0,50249,24743,16,11,78,129878,63436,-6.2262774,-5.9341235
44,phantom_assassin,agi,Melee,120,1.0,75,0.0,1,25,35,37,19,21,15,2.0,3.4,1.7000000000000002,150,900,1.7000000000000002,110,0.30000000000000004,310,0.8,2,1800,800,Phantom Assassin,51397,25478,79405,38979,76004,36832,61208,29530,40486,19247,22714,10923,17558,8383,0,0,267219,139361,8,4,6,404339,196872,9.981902,5.790605
45,pugna,int,Ranged,120,0.25,75,0.5,0,25,21,28,19,21,26,2.0,1.3,5.2,630,900,1.7000000000000002,100,0.5,330,,2,1800,800,Pugna,13318,6193,21673,10251,22893,11104,20530,10113,15161,7558,9871,4932,9435,4648,0,0,59147,27622,18,10,14,131191,64017,-6.228128,-5.472461
46,templar_assassin,agi,Ranged,120,1.0,75,0.0,0,25,28,33,21,23,20,2.4,3.4,2.0,250,1000,1.6,100,0.30000000000000004,310,0.7000000000000001,2,1800,800,Templar Assassin,16749,7770,31095,14628,33808,16249,30754,14920,23864,11944,16356,8024,20569,10468,0,0,56868,25437,68,36,80,195567,94120,-1.7523044,-0.06496176
47,viper,agi,Ranged,120,0.25,75,0.0,-2,25,27,29,21,21,17,2.4,2.7,2.0,575,1200,1.7000000000000002,120,0.33,275,,0,1800,800,Viper,39045,18765,54855,26244,54068,26204,45999,22428,33381,16341,20486,9942,21973,10760,0,0,163555,80010,49,21,193,314756,153550,6.888545,4.2987356
48,luna,agi,Ranged,120,0.5,75,0.0,2,25,26,32,21,24,23,2.2,3.4,1.9,330,900,1.7000000000000002,100,0.35000000000000003,325,,2,1800,800,Luna,20780,10436,34468,17325,35853,18015,32408,16042,24377,12148,16160,8074,16520,8114,0,0,85816,43770,51,17,6,210073,105759,1.0056578,0.033092473
49,dragon_knight,str,Melee,120,0.25,75,0.0,0,25,34,40,21,14,18,3.6,2.0,1.7000000000000002,150,900,1.6,100,0.5,315,,2,1800,800,Dragon Knight,19577,9497,34169,16232,36246,17031,30908,14374,21974,10329,13115,6245,12623,6021,0,0,61848,29286,77,27,36,197142,93142,-1.4435778,-0.14902338
50,dazzle,all,Ranged,120,0.25,75,0.30000000000000004,0,25,19,25,19,20,25,2.3,1.7000000000000002,3.5,575,1200,1.7000000000000002,100,0.30000000000000004,305,0.7000000000000001,2,1800,800,Dazzle,17192,8690,33839,17514,36849,19297,31546,16787,22083,11824,14347,7662,15302,8390,0,0,59056,30780,24,13,44,190790,99858,-1.6364989,-0.23549238
51,rattletrap,str,Melee,120,0.5,75,0.0,1,25,24,26,26,13,18,3.2,2.3,1.7000000000000002,150,900,1.7000000000000002,100,0.33,310,,2,1800,800,Clockwerk,9251,4619,19957,10035,26219,13418,28281,14410,24447,12504,18317,9440,20334,10506,0,0,72473,37644,26,14,15,165520,85005,-2.7853832,-2.7621868
52,leshrac,int,Ranged,120,0.25,75,0.0,1,25,27,31,20,17,22,2.8,2.5,3.5,575,900,1.7000000000000002,100,0.4,325,,4,1800,800,Leshrac,7092,3524,13434,6596,14752,7238,14493,7224,12041,6166,8657,4426,11552,6011,0,0,45152,22721,14,9,13,96019,47366,-8.680376,-7.722039
53,furion,all,Ranged,120,0.25,75,0.0,0,25,16,26,19,14,22,2.6,2.6,3.5,600,1125,1.5,100,0.4,295,0.9,2,1800,800,Nature's Prophet,30464,13712,48782,21177,48903,20920,41564,17771,28752,12318,17395,7571,15723,6928,0,0,112721,48025,10,6,50,261458,114281,3.5718105,2.323511
54,life_stealer,str,Melee,120,0.25,75,0.0,1,25,16,22,23,15,15,2.4,1.9,1.8,150,900,1.7000000000000002,100,0.39,315,0.9,2,1800,800,Lifestealer,18325,8876,34308,17022,38750,19491,35250,18167,26843,13833,17456,9037,15277,7814,0,0,86347,42631,23,11,16,217571,109689,1.1702708,0.5065365
55,dark_seer,int,Melee,120,1.0,75,0.0,1,25,31,37,20,19,22,2.6,1.5,2.7,150,900,1.7000000000000002,100,0.59,295,,2,1800,800,Dark Seer,5590,2786,9872,4898,10285,5122,9119,4592,7213,3559,5037,2504,6322,3232,0,0,46194,24382,22,14,9,65039,33123,-9.581989,-9.095504
56,clinkz,agi,Ranged,120,0.25,75,0.0,0,25,19,25,17,25,21,2.0,2.7,2.2,600,900,1.7000000000000002,100,0.4,290,,2,1800,800,Clinkz,32478,16034,48148,24314,47987,24395,43302,22527,34189,17964,23618,12540,27132,14547,0,0,151669,78066,23,12,43,292572,150864,6.3474336,3.8339725
57,omniknight,str,Melee,120,0.25,75,0.0,3,25,31,41,22,15,16,3.1,2.0,2.1,150,900,1.7000000000000002,100,0.433,310,,2,1800,800,Omniknight,10493,5365,19880,10237,23033,12030,23314,12282,18516,9800,12575,6759,13064,6998,0,0,48100,24975,9,3,7,139185,72676,-5.3399563,-5.4043837
58,enchantress,int,Ranged,120,0.25,75,0.5,1,25,21,31,17,19,22,2.0,2.1,4.0,575,900,1.7000000000000002,100,0.30000000000000004,320,,4,1800,800,Enchantress,14581,7343,17922,8928,14477,7082,10955,5372,7361,3500,4706,2277,5085,2527,0,0,62832,32387,27,19,19,94519,47277,-7.8328643,-8.039864
59,huskar,str,Ranged,120,0.25,0,0.0,1,25,21,26,23,10,18,3.3,1.5,1.5,400,1400,1.6,100,0.30000000000000004,295,,2,1800,800,Huskar,24643,11323,34406,16069,33129,15843,28686,13919,22151,10949,15258,7703,17617,8967,0,0,106333,50304,28,14,110,216194,103676,2.1439016,-0.0049162298
60,night_stalker,str,Melee,120,1.5,75,0.25,2,25,40,44,23,18,15,3.0,2.2,1.6,150,900,1.7000000000000002,100,0.55,295,,2,800,1800,Night Stalker,8892,4349,18482,9162,22114,11220,21623,11015,16559,8411,11317,5821,11492,5842,0,0,35454,17331,2,0,6,130184,66174,-5.53054,-6.4470005
61,broodmother,agi,Melee,120,0.25,75,0.0,-1,25,27,33,18,18,18,2.9,3.4,2.0,175,900,1.7000000000000002,125,0.4,285,,8,1800,800,Broodmother,16539,8704,26338,13633,23687,12635,17611,9362,11345,6007,7131,3796,8849,4770,0,0,60051,29726,9,4,25,131703,68756,-6.26438,-5.2035136
62,bounty_hunter,agi,Melee,120,0.75,75,0.5,5,25,33,41,19,21,20,2.5,2.6,1.9,150,900,1.5,100,0.59,325,,2,1800,1000,Bounty Hunter,19345,9483,32128,16011,32319,16075,28520,14504,20806,10789,13211,6783,15041,7998,0,0,103903,49623,4,0,3,185041,92712,-0.0316875,-2.4442677
63,weaver,agi,Ranged,120,1.25,75,0.5,1,25,37,43,16,17,20,2.0,3.3,2.0,425,900,1.8,120,0.55,275,,4,1800,800,Weaver,35137,17624,63017,31192,73226,36472,69132,34762,53719,27014,35628,17757,38595,19297,0,0,161732,82695,34,12,75,404535,202474,8.429166,6.4977217
64,jakiro,int,Ranged,120,0.25,75,0.0,1,25,27,35,25,15,26,2.5,1.2,3.0,400,1100,1.7000000000000002,100,0.4,290,0.8,2,1800,800,Jakiro,29863,14564,66999,32384,83292,39980,81170,38764,63263,30157,42703,20286,46201,21847,0,0,145093,69452,135,72,168,445530,213012,8.698496,7.404894
65,batrider,all,Ranged,120,1.25,75,0.0,2,25,12,16,23,13,22,2.9,1.8,2.9,400,900,1.7000000000000002,100,0.30000000000000004,320,0.9,2,1800,800,Batrider,5386,2432,11789,5357,14377,6514,14572,6855,12711,5963,9566,4551,13830,6785,0,0,31806,13484,64,35,209,92690,43436,-9.503725,-7.5648804
66,chen,int,Ranged,120,0.25,75,0.5,-1,25,29,39,23,15,19,2.0,2.1,3.2,650,1100,1.7000000000000002,100,0.5,305,,2,1800,800,Chen,2224,947,4057,1879,4346,1951,3736,1727,2948,1367,2282,1080,3272,1648,0,0,16499,7030,18,8,35,29703,14200,-11.10612,-9.430403
67,spectre,agi,Melee,120,1.0,75,0.0,0,25,23,27,21,25,16,2.5,2.1,1.7000000000000002,150,900,1.8,110,0.30000000000000004,290,,0,1800,800,Spectre,24818,13891,44364,24255,44003,23583,35534,18858,22834,12058,11928,6084,8329,4136,0,0,92703,52922,3,1,5,217320,116252,2.0419962,0.80646837
68,ancient_apparition,int,Ranged,120,0.25,75,0.0,-1,25,21,31,20,20,23,1.9,2.0,3.1,675,1250,1.7000000000000002,100,0.45,285,,0,1800,800,Ancient Apparition,23002,11585,41985,21809,46280,23601,41956,21324,31723,16036,19937,10066,19367,9631,0,0,127573,65746,20,9,24,248936,126933,3.7941666,1.7446296
69,doom_bringer,str,Melee,120,0.66,75,0.0,2,25,32,42,24,15,15,3.5,1.5,1.9,200,900,1.9,100,0.5,290,,2,1800,800,Doom,7511,3364,13904,6035,15663,7097,14448,6533,11013,5087,7378,3396,7685,3543,0,0,32313,14969,19,11,16,93354,43322,-9.348643,-7.718982
70,ursa,agi,Melee,120,1.0,75,0.0,1,25,24,28,25,18,16,2.4,2.8,1.5,150,900,1.7000000000000002,100,0.30000000000000004,310,,2,1800,800,Ursa,25766,11907,48894,23063,55163,26896,51638,25290,39712,19752,26505,13143,27872,14005,0,0,111181,53540,70,38,102,312851,151317,5.564854,3.8461123
71,spirit_breaker,str,Melee,120,1.25,75,0.5,1,25,34,44,28,17,14,3.3,1.7000000000000002,1.8,170,900,1.9,100,0.6000000000000001,295,,2,1800,800,Spirit Breaker,37503,19041,63883,32673,67939,34733,60482,30901,45283,23311,29083,15065,29500,15192,0,0,172304,82909,38,21,24,374376,192361,7.9445076,5.908897
72,gyrocopter,agi,Ranged,120,0.25,75,0.0,1,25,18,24,22,25,21,2.5,3.2,2.4,365,3000,1.7000000000000002,125,0.2,320,,2,1800,800,Gyrocopter,10297,4695,19997,9081,25112,11566,25140,11678,19654,9323,12771,5937,13072,6042,0,0,64243,31500,34,17,31,146840,68956,-5.1270385,-4.5793467
73,alchemist,str,Melee,120,0.25,75,0.0,0,25,27,33,23,22,25,2.7,1.5,1.8,150,900,1.7000000000000002,110,0.35000000000000003,295,,2,1800,800,Alchemist,14190,7218,28229,14315,32466,16550,29628,14908,22210,11340,14292,7323,13860,6962,0,0,69649,37077,9,5,8,181055,92646,-1.7690167,-1.6666038
74,invoker,int,Ranged,120,0.25,75,0.0,-1,25,19,25,19,14,20,2.5,2.0,4.0,600,900,1.7000000000000002,100,0.4,285,,2,1800,800,Invoker,46148,23016,97471,49235,115873,59342,108643,56027,85219,44223,57008,30026,59878,31853,0,0,374208,190815,61,26,48,616327,316301,12.13933,7.963116
75,silencer,int,Ranged,120,0.25,75,0.0,0,25,18,32,18,22,25,2.2,2.2,2.9,600,900,1.6,110,0.5,290,,2,1800,800,Silencer,29043,14459,57546,27938,63908,30950,55270,26545,39126,18664,23046,10893,19207,8974,0,0,126893,62213,35,14,36,313896,152152,6.0101414,4.1960387
76,obsidian_destroyer,int,Ranged,120,1.0,75,0.0,1,25,19,31,21,22,30,2.9,1.6,4.2,450,900,1.9,100,0.46,315,,4,1800,800,Outworld Devourer,14919,7430,28709,14443,34146,17611,32632,17023,24882,13134,16361,8536,14966,7639,0,0,68063,34795,16,8,29,187783,96763,-1.4224217,-1.0096066
77,lycan,str,Melee,120,0.25,75,0.0,0,25,24,29,28,18,23,3.4,1.7000000000000002,1.7000000000000002,150,900,1.7000000000000002,110,0.55,305,,2,1800,800,Lycan,5657,2835,9939,4885,8897,4292,7183,3503,4549,2206,2950,1438,3192,1641,0,0,29867,15473,1,0,2,57490,28916,-10.292689,-8.983782
78,brewmaster,all,Melee,120,0.5,75,0.0,1,25,26,33,23,19,17,3.2,2.0,1.9,150,900,1.7000000000000002,100,0.35000000000000003,310,,2,1800,800,Brewmaster,3488,1719,6149,3095,6811,3486,6622,3357,5612,2807,4179,2079,5676,2877,0,0,19201,8834,34,15,99,50063,24744,-10.883616,-8.7969055
79,shadow_demon,int,Ranged,120,0.25,75,0.0,0,25,29,33,23,18,22,2.6,2.2,3.6,500,900,1.7000000000000002,100,0.35000000000000003,290,,2,1800,800,Shadow Demon,5607,2472,11056,5101,14742,6858,16095,7667,13799,6630,10664,5233,14058,6899,0,0,31563,14704,81,46,190,98503,47301,-9.305439,-7.2475095
80,lone_druid,agi,Ranged,120,0.25,75,0.0,0,25,22,26,18,20,13,2.5,2.8,1.4,550,900,1.6,100,0.33,295,,2,1800,800,Lone Druid,4785,2303,7960,3804,7981,3952,7017,3415,5443,2828,3851,2000,4594,2460,0,0,23315,10240,5,4,28,50275,25049,-10.407364,-9.431661
81,chaos_knight,str,Melee,120,0.25,75,0.0,2,25,29,49,24,18,18,3.1,1.8,1.2,150,900,1.7000000000000002,100,0.5,325,,2,1800,800,Chaos Knight,25581,13698,40585,21362,36690,19051,29989,15655,20756,10799,12161,6423,10931,5670,0,0,92708,52237,22,11,2,208739,109946,1.746723,-0.025937935
82,meepo,agi,Melee,120,0.25,75,0.25,3,25,29,35,24,17,18,2.2,2.1,1.9,150,900,1.7000000000000002,100,0.38,320,0.9,2,1800,800,Meepo,8481,4199,12893,6598,11948,6279,9637,5019,6698,3583,4438,2405,5026,2739,0,0,46778,22690,6,5,18,72070,37307,-9.316073,-8.761403
