name,manufacturer,type,calories,protein,fat,sodium,fiber,carbs,sugars,potassium,vitamins & minerals,display shelf,weight,cups,rating,x,y
Nutri-Grain Almond-Raisin,K,C,140,3,2,220,3.0,21.0,7,130,25,3,1.33,0.67,40.69232,5.7354345,-4.452204
Nutri-grain Wheat,K,C,90,3,0,170,3.0,18.0,2,90,25,3,1.0,1.0,59.642837,-0.7584787,-1.1306782
Oatmeal Raisin Crisp,G,C,130,3,2,170,1.5,13.5,10,120,25,3,1.25,0.5,30.450843,-4.618361,-2.6059818
Post Nat. Raisin Bran,P,C,120,3,1,200,6.0,11.0,14,260,25,3,1.33,0.67,37.840594,-14.958017,-3.6910896
Product 19,K,C,100,3,0,320,1.0,20.0,3,45,100,3,1.0,1.0,41.50354,14.977763,-15.580576
Puffed Rice,Q,C,50,1,0,0,0.0,13.0,0,15,0,3,0.5,1.0,60.756112,-3.403556,17.465637
Puffed Wheat,Q,C,50,2,0,0,1.0,10.0,0,50,0,3,0.5,1.0,63.005645,-4.1589603,18.408312
Quaker Oat Squares,Q,C,100,4,1,135,2.0,14.0,6,110,25,3,1.0,0.5,49.511874,-4.3876724,-0.40559554
Quaker Oatmeal,Q,H,100,5,2,0,2.7,-1.0,-1,110,0,1,1.0,0.67,50.828392,-6.65216,22.820295
Raisin Bran,K,C,120,3,1,210,5.0,14.0,12,240,25,2,1.33,0.75,39.259197,-13.906025,-3.6656578
Raisin Nut Bran,G,C,100,3,2,140,2.5,10.5,8,140,25,3,1.0,0.5,39.7034,-6.26259,-0.7621705
Raisin Squares,K,C,90,2,0,0,2.0,15.0,6,110,25,3,1.0,0.5,55.333142,-6.2198462,21.426394
Rice Chex,R,C,110,1,0,240,0.0,23.0,2,30,25,1,1.0,1.13,41.998933,10.271144,-13.027363
Rice Krispies,K,C,110,2,0,290,0.0,22.0,3,35,25,1,1.0,1.0,40.560159,13.301697,-14.166364
Shredded Wheat,N,C,80,2,0,0,3.0,16.0,0,95,0,1,0.83,1.0,68.235885,-5.2631054,20.176945
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4.0,19.0,0,140,0,1,1.0,0.67,74.472949,-8.333181,22.46088
Shredded Wheat spoon size,N,C,90,3,0,0,3.0,20.0,0,120,0,1,1.0,0.67,72.801787,-7.784225,21.060167
Smacks,K,C,110,2,1,70,1.0,9.0,15,40,25,2,1.0,0.75,31.230054,-1.5627109,12.058422
Special K,K,C,110,6,0,230,1.0,16.0,3,55,25,1,1.0,1.0,53.131324,9.094021,-11.466658
Strawberry Fruit Wheats,N,C,90,2,0,15,3.0,15.0,5,90,25,2,1.0,1.0,59.363993,-6.6280513,19.718594
Total Corn Flakes,G,C,110,2,1,200,0.0,21.0,3,35,100,3,1.0,1.0,38.839746,13.216912,0.82417876
Total Raisin Bran,G,C,140,3,1,190,4.0,15.0,14,230,100,3,1.5,1.0,28.592785,-14.473119,-1.8231326
Total Whole Grain,G,C,100,3,1,200,3.0,16.0,3,110,100,3,1.0,1.0,46.658844,10.442447,0.33351874
Triples,G,C,110,2,1,250,0.0,21.0,3,60,25,3,1.0,0.75,39.106174,10.465076,-11.361351
Trix,G,C,110,1,1,140,0.0,13.0,12,25,25,2,1.0,1.0,27.753301,2.7482884,7.7231803
Wheat Chex,R,C,100,3,1,230,3.0,17.0,3,115,25,1,1.0,0.67,49.787445,7.991372,-5.2861466
Wheaties,G,C,100,3,1,200,3.0,17.0,3,110,25,1,1.0,1.0,51.592193,8.057812,-4.160815
Wheaties Honey Gold,G,C,110,2,1,200,1.0,16.0,8,60,25,1,1.0,0.75,36.187559,6.9583373,-10.509833
