Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,x,y
62,5.9,3.0,4.2,1.5,Iris-versicolor,-2.0817068,0.28268427
63,6.0,2.2,4.0,1.0,Iris-versicolor,-1.8872459,0.25943553
64,6.1,2.9,4.7,1.4,Iris-versicolor,-1.6852115,0.23510769
65,5.6,2.9,3.6,1.3,Iris-versicolor,-1.494809,0.21274702
66,6.7,3.1,4.4,1.4,Iris-versicolor,-1.2896912,0.18799874
67,5.6,3.0,4.5,1.5,Iris-versicolor,-1.0929385,0.1649854
68,5.8,2.7,4.1,1.0,Iris-versicolor,-0.8938575,0.14154051
69,6.2,2.2,4.5,1.5,Iris-versicolor,-0.6868094,0.11713259
70,5.6,2.5,3.9,1.1,Iris-versicolor,-0.49621642,0.09491684
71,5.9,3.2,4.8,1.8,Iris-versicolor,-0.28787416,0.07024437
72,6.1,2.8,4.0,1.3,Iris-versicolor,-0.094620675,0.04709385
73,6.3,2.5,4.9,1.5,Iris-versicolor,0.1115727,0.023352042
74,6.1,2.8,4.7,1.2,Iris-versicolor,0.30559394,0.0013689485
75,6.4,2.9,4.3,1.3,Iris-versicolor,0.5084924,-0.022052603
76,6.6,3.0,4.4,1.4,Iris-versicolor,0.710506,-0.045366924
77,6.8,2.8,4.8,1.4,Iris-versicolor,0.91111505,-0.06902806
78,6.7,3.0,5.0,1.7,Iris-versicolor,1.1062899,-0.090671845
79,6.0,2.9,4.5,1.5,Iris-versicolor,1.3165761,-0.114955515
80,5.7,2.6,3.5,1.0,Iris-versicolor,1.5218129,-0.13813592
81,5.5,2.4,3.8,1.1,Iris-versicolor,1.7266343,-0.16126665
82,5.5,2.4,3.7,1.0,Iris-versicolor,1.9210856,-0.1836387
83,5.8,2.7,3.9,1.2,Iris-versicolor,2.1239505,-0.20533998
84,6.0,2.7,5.1,1.6,Iris-versicolor,2.3306298,-0.22864753
85,5.4,3.0,4.5,1.5,Iris-versicolor,2.5327342,-0.25206298
86,6.0,3.4,4.5,1.6,Iris-versicolor,2.7357256,-0.27426693
87,6.7,3.1,4.7,1.5,Iris-versicolor,2.9347692,-0.2959918
88,6.3,2.3,4.4,1.3,Iris-versicolor,3.1348526,-0.31770578
89,5.6,3.0,4.1,1.3,Iris-versicolor,3.3423998,-0.34053057
90,5.5,2.5,4.0,1.3,Iris-versicolor,3.5402267,-0.3621168
91,5.5,2.6,4.4,1.2,Iris-versicolor,3.7460625,-0.38407308
92,6.1,3.0,4.6,1.4,Iris-versicolor,3.9469566,-0.4057214
93,5.8,2.6,4.0,1.2,Iris-versicolor,4.1488194,-0.42731124
94,5.0,2.3,3.3,1.0,Iris-versicolor,4.342629,-0.4478722
95,5.6,2.7,4.2,1.3,Iris-versicolor,4.5538793,-0.46857527
96,5.7,3.0,4.2,1.2,Iris-versicolor,4.75369,-0.49158728
97,5.7,2.9,4.2,1.3,Iris-versicolor,4.9478025,-0.5097606
98,6.2,2.9,4.3,1.3,Iris-versicolor,5.1608396,-0.5326321
99,5.1,2.5,3.0,1.1,Iris-versicolor,5.3141165,-0.54576594
100,5.7,2.8,4.1,1.3,Iris-versicolor,5.5426145,-0.5694323
101,6.3,3.3,6.0,2.5,Iris-virginica,5.8223057,-0.6005732
102,5.8,2.7,5.1,1.9,Iris-virginica,5.9854803,-0.6117694
103,7.1,3.0,5.9,2.1,Iris-virginica,6.2202067,-0.6375487
104,6.3,2.9,5.6,1.8,Iris-virginica,6.40288,-0.65083873
105,6.5,3.0,5.8,2.2,Iris-virginica,6.6080694,-0.6752395
106,7.6,3.0,6.6,2.1,Iris-virginica,6.8298826,-0.7183117
107,4.9,2.5,4.5,1.7,Iris-virginica,6.9866385,-0.66761154
108,7.3,2.9,6.3,1.8,Iris-virginica,7.2124314,-0.743129
109,6.7,2.5,5.8,1.8,Iris-virginica,7.4059634,-0.74564415
110,7.2,3.6,6.1,2.5,Iris-virginica,7.6121383,-0.7743777
111,6.5,3.2,5.1,2.0,Iris-virginica,7.803659,-0.77184236
112,6.4,2.7,5.3,1.9,Iris-virginica,8.007046,-0.7967621
113,6.8,3.0,5.5,2.1,Iris-virginica,8.203698,-0.82019377
114,5.7,2.5,5.0,2.0,Iris-virginica,8.401511,-0.8325414
115,5.8,2.8,5.1,2.4,Iris-virginica,8.595146,-0.83834684
116,6.4,3.2,5.3,2.3,Iris-virginica,8.799772,-0.85963273
117,6.5,3.0,5.5,1.8,Iris-virginica,9.002917,-0.8605175
118,7.7,3.8,6.7,2.2,Iris-virginica,9.208237,-0.9160383
119,7.7,2.6,6.9,2.3,Iris-virginica,9.405805,-0.9488142
120,6.0,2.2,5.0,1.5,Iris-virginica,9.605853,-0.8824564
121,6.9,3.2,5.7,2.3,Iris-virginica,9.794084,-0.9610557
122,5.6,2.8,4.9,2.0,Iris-virginica,9.998803,-0.883062
123,7.7,2.8,6.7,2.0,Iris-virginica,10.175639,-1.0545572
124,6.3,2.7,4.9,1.8,Iris-virginica,10.382527,-0.9086455
125,6.7,3.3,5.7,2.1,Iris-virginica,10.564358,-0.9929116
126,7.2,3.2,6.0,1.8,Iris-virginica,10.745085,-1.1036798
127,6.2,2.8,4.8,1.8,Iris-virginica,10.929826,-1.011816
128,6.1,3.0,4.9,1.8,Iris-virginica,11.11247,-0.924373
129,6.4,2.8,5.6,2.1,Iris-virginica,11.288894,-0.92366064
130,7.2,3.0,5.8,1.6,Iris-virginica,11.437253,-1.154135
131,7.4,2.8,6.1,1.9,Iris-virginica,11.608681,-1.1665566
132,7.9,3.8,6.4,2.0,Iris-virginica,11.759726,-1.264869
133,6.4,2.8,5.6,2.2,Iris-virginica,11.923995,-0.93078804
134,6.3,2.8,5.1,1.5,Iris-virginica,12.07882,-0.92582065
135,6.1,2.6,5.6,1.4,Iris-virginica,12.225381,-0.9304662
136,7.7,3.0,6.1,2.3,Iris-virginica,12.3367195,-1.3699833
137,6.3,3.4,5.6,2.4,Iris-virginica,12.479017,-1.3611925
138,6.4,3.1,5.5,1.8,Iris-virginica,12.628904,-0.9021366
139,6.0,3.0,4.8,1.8,Iris-virginica,12.764039,-0.84571147
140,6.9,3.1,5.4,2.1,Iris-virginica,12.83894,-1.4209877
141,6.7,3.1,5.6,2.4,Iris-virginica,12.997428,-0.8461134
142,6.9,3.1,5.1,2.3,Iris-virginica,13.057736,-1.4487523
143,5.8,2.7,5.1,1.9,Iris-virginica,13.209717,-0.8098283
144,6.8,3.2,5.9,2.3,Iris-virginica,13.272056,-1.4742612
145,6.7,3.3,5.7,2.5,Iris-virginica,13.3795185,-1.4718361
146,6.7,3.0,5.2,2.3,Iris-virginica,13.492339,-0.8379436
147,6.3,2.5,5.0,1.9,Iris-virginica,13.595692,-1.4018062
148,6.5,3.0,5.2,2.0,Iris-virginica,13.673722,-0.9198257
149,6.2,3.4,5.4,2.3,Iris-virginica,13.773665,-1.075686
150,5.9,3.0,5.1,1.8,Iris-virginica,13.83419,-1.2488244
